11 00;  81 41;  、
CA 00;  81 40;  (EMPTY)
CB 00;  81 40;  (EMPTY)
CC 00;  81 40;  (EMPTY)
CD 00;  83 4b;  ガ
CE 00;  83 4d;  ギ
CF 00;  83 4f;  グ
D0 00;  83 51;  ゲ
D1 00;  83 53;  ゴ
D2 00;  83 55;  ザ
D3 00;  83 57;  ジ
D4 00;  83 59;  ズ
D5 00;  83 5b;  ゼ
D6 00;  83 5d;  ゾ
D7 00;  83 5f;  ダ
D8 00;  83 61;  ヂ
D9 00;  83 64;  ヅ
DA 00;  83 66;  デ
DB 00;  83 68;  ド
DC 00;  83 6f;  バ
DD 00;  83 72;  ビ
DE 00;  83 75;  ブ
DF 00;  83 78;  ベ
E0 00;  83 7b;  ボ
E1 00;  83 70;  パ
E2 00;  83 73;  ピ
E3 00;  83 76;  プ
E4 00;  83 79;  ペ
E5 00;  83 7c;  ポ
E6 00;  82 aa;  が
E7 00;  82 ac;  ぎ
E8 00;  82 ae;  ぐ
E9 00;  82 b0;  げ
EA 00;  82 b2;  ご
EB 00;  82 b4;  ざ
EC 00;  82 b6;  じ
ED 00;  82 b8;  ず
EE 00;  82 ba;  ぜ
EF 00;  82 bc;  ぞ
F0 00;  82 be;  だ
F1 00;  82 c0;  ぢ
F2 00;  82 c3;  づ
F3 00;  82 c5;  で
F4 00;  82 c7;  ど
F5 00;  82 ce;  ば
F6 00;  82 d1;  び
F7 00;  82 d4;  ぶ
F8 00;  82 d7;  べ
F9 00;  82 da;  ぼ
FA 00;  82 cf;  ぱ
FB 00;  82 d2;  ぴ
FC 00;  82 d5;  ぷ
FD 00;  82 d8;  ぺ
FE 00;  82 db;  ぽ
FF 00;  83 94;  ヴ
00 01;  89 b4;  俺
01 01;  90 6c;  人
02 01;  96 82;  魔
03 01;  8c c3;  古
04 01;  90 ce;  石
05 01;  96 e5;  門
06 01;  95 b6;  文
07 01;  8e 9a;  字
08 01;  93 c7;  読
09 01;  8c a9;  見
0A 01;  8e b8;  失
0B 01;  8b df;  近
0C 01;  8a 6d;  確
0D 01;  97 88;  来
0E 01;  8e 76;  思
0F 01;  8e f7;  樹
10 01;  91 e5;  大
11 01;  95 a8;  物
12 01;  95 df;  捕
13 01;  95 aa;  分
14 01;  8e 52;  山
15 01;  91 ba;  村
16 01;  89 b9;  音
17 01;  8b 7d;  急
18 01;  92 c7;  追
19 01;  8b 41;  帰
1A 01;  8a 6c;  獲
1B 01;  93 ec;  南
1C 01;  95 fb;  方
1D 01;  91 81;  早
1E 01;  8d 73;  行
1F 01;  88 ab;  悪
20 01;  8f 80;  準
21 01;  94 f5;  備
22 01;  8e e8;  手
23 01;  8a d4;  間
24 01;  8e e6;  取
25 01;  95 ea;  母
26 01;  91 d2;  待
27 01;  95 97;  風
28 01;  8e d7;  邪
29 01;  8a 4f;  外
2A 01;  8f 6f;  出
2B 01;  90 53;  心
2C 01;  94 7a;  配
2D 01;  8d c5;  最
2E 01;  95 d3;  辺
2F 01;  91 9b;  騒
30 01;  8b 7c;  弓
31 01;  8c 95;  剣
32 01;  8f e4;  丈
33 01;  95 76;  夫
34 01;  95 83;  父
35 01;  8e eb;  狩
36 01;  96 df;  戻
37 01;  96 b3;  無
38 01;  97 9d;  理
39 01;  8b b4;  橋
3A 01;  8f e3;  上
3B 01;  8d 87;  合
3C 01;  88 a4;  愛
3D 01;  89 69;  永
3E 01;  8b 76;  久
3F 01;  91 b1;  続
40 01;  8c be;  言
41 01;  92 6d;  知
42 01;  8f 8a;  所
43 01;  8c 4e;  君
44 01;  8e 84;  私
45 01;  92 42;  達
46 01;  8c 8e;  月
47 01;  8c 8b;  結
48 01;  8d a5;  婚
49 01;  8e ae;  式
4A 01;  94 de;  彼
4B 01;  98 62;  話
4C 01;  8d a1;  今
4D 01;  93 78;  度
4E 01;  8f 70;  術
4F 01;  8b b3;  教
50 01;  8b ad;  強
51 01;  97 b7;  旅
52 01;  8f 5a;  住
53 01;  95 bd;  平
54 01;  98 61;  和
55 01;  89 c6;  家
56 01;  90 b9;  聖
57 01;  89 ef;  会
58 01;  95 90;  武
59 01;  8a ed;  器
5A 01;  89 ae;  屋
5B 01;  8f 68;  宿
5C 01;  8e 47;  雑
5D 01;  89 dd;  貨
5E 01;  8b 78;  休
5F 01;  92 78;  遅
60 01;  8e f3;  受
61 01;  95 74;  付
62 01;  8e 6f;  姉
63 01;  8b 43;  気
64 01;  90 51;  寝
65 01;  93 60;  伝
66 01;  90 c3;  静
67 01;  93 fa;  日
68 01;  90 5f;  神
69 01;  8c e4;  御
6A 01;  89 c1;  加
6B 01;  8c ec;  護
6C 01;  93 af;  同
6D 01;  8e a9;  自
6E 01;  91 52;  然
6F 01;  90 92;  崇
70 01;  94 71;  拝
71 01;  8d a2;  困
72 01;  97 a2;  里
73 01;  90 dc;  折
74 01;  8b 60;  義
75 01;  88 e1;  違
76 01;  93 7a;  奴
77 01;  92 86;  中
78 01;  8d d5;  祭
79 01;  92 64;  壇
7A 01;  97 bc;  両
7B 01;  91 a4;  側
7C 01;  97 a7;  立
7D 01;  91 cc;  体
7E 01;  92 a4;  彫
7F 01;  91 9c;  像
80 01;  90 46;  色
81 01;  8f 97;  女
82 01;  97 6c;  様
83 01;  8e e5;  主
84 01;  8e 9d;  持
85 01;  91 95;  装
86 01;  96 f0;  役
87 01;  8b 8f;  居
88 01;  8e 55;  散
89 01;  95 e0;  歩
8A 01;  93 56;  天
8B 01;  90 bc;  西
8C 01;  95 cf;  変
8D 01;  89 5f;  雲
8E 01;  89 4a;  雨
8F 01;  96 85;  妹
90 01;  8c b3;  元
91 01;  93 fc;  入
92 01;  8e 67;  使
93 01;  8b 71;  客
94 01;  93 63;  田
95 01;  8e 6d;  士
96 01;  90 e6;  先
97 01;  90 b6;  生
98 01;  98 72;  腕
99 01;  91 a7;  息
9A 01;  8e 71;  子
9B 01;  8c f0;  交
9C 01;  91 ab;  足
9D 01;  91 4f;  前
9E 01;  8a e8;  願
9F 01;  91 6e;  創
A0 01;  8e 6e;  始
A1 01;  8e d2;  者
A2 01;  96 bc;  名
A3 01;  88 cc;  偉
A4 01;  94 68;  派
A5 01;  91 b4;  其
A6 01;  92 6e;  地
A7 01;  97 fb;  練
A8 01;  8f 4b;  習
A9 01;  8f 49;  終
AA 01;  92 b7;  長
AB 01;  95 c7;  壁
AC 01;  8c 8a;  穴
AD 01;  8c fc;  向
AE 01;  90 ab;  性
AF 01;  90 ba;  声
B0 01;  95 b7;  聞
B1 01;  92 4e;  誰
B2 01;  90 c0;  逝
B3 01;  8b be;  鏡
B4 01;  8f 95;  助
B5 01;  8a d9;  館
B6 01;  97 e7;  礼
B7 01;  e1 8f;  瘴
B8 01;  8a 4a;  開
B9 01;  90 85;  水
BA 01;  98 48;  路
BB 01;  93 53;  鉄
BC 01;  8a 69;  格
BD 01;  88 c8;  以
BE 01;  90 69;  進
BF 01;  8e 80;  死
C0 01;  8c bb;  現
C1 01;  8e c0;  実
C2 01;  93 a6;  逃
C3 01;  98 53;  牢
C4 01;  8e 68;  刺
C5 01;  96 da;  目
C6 01;  8a 6f;  覚
C7 01;  8b 4c;  記
C8 01;  89 ad;  億
C9 01;  90 77;  陣
CA 01;  8c 6f;  経
CB 01;  8c b1;  験
CC 01;  91 53;  全
CD 01;  8e 63;  残
CE 01;  97 af;  留
CF 01;  94 4f;  念
D0 01;  90 67;  身
D1 01;  93 73;  都
D2 01;  8c e3;  後
D3 01;  95 4b;  必
D4 01;  8e 96;  事
D5 01;  90 d8;  切
D6 01;  8d 91;  国
D7 01;  8d 4b;  幸
D8 01;  89 ba;  下
D9 01;  8f ac;  小
DA 01;  8b 9f;  供
DB 01;  96 b0;  眠
DC 01;  97 cd;  力
DD 01;  88 c0;  安
DE 01;  8a eb;  危
DF 01;  8c af;  険
E0 01;  8d 4e;  康
E1 01;  8f 50;  襲
E2 01;  8e 45;  殺
E3 01;  93 a2;  討
E4 01;  90 e2;  絶
E5 01;  96 6b;  北
E6 01;  8e e7;  守
E7 01;  8a e7;  顔
E8 01;  97 56;  遊
E9 01;  91 de;  退
EA 01;  8b fc;  屈
EB 01;  94 d4;  番
EC 01;  97 70;  用
ED 01;  81 58;  々
EE 01;  92 ac;  町
EF 01;  8c 7c;  芸
F0 01;  8f ad;  少
F1 01;  90 94;  数
F2 01;  8b 52;  騎
F3 01;  93 cb;  突
F4 01;  90 5e;  真
F5 01;  8d 95;  黒
F6 01;  8e 9e;  時
F7 01;  89 93;  遠
F8 01;  93 61;  殿
F9 01;  93 c6;  独
FA 01;  92 63;  団
FB 01;  91 e0;  隊
FC 01;  97 45;  勇
FD 01;  97 a4;  陸
FE 01;  93 79;  土
FF 01;  93 6e;  渡
00 02;  91 b9;  損
01 02;  96 7b;  本
02 02;  93 96;  当
03 02;  8d c8;  妻
04 02;  97 8e;  落
05 02;  94 91;  泊
06 02;  90 a2;  世
07 02;  96 e9;  夜
08 02;  95 91;  舞
09 02;  8b 96;  許
0A 02;  89 e4;  我
0B 02;  89 ca;  果
0C 02;  93 58;  店
0D 02;  88 f5;  員
0E 02;  8b ef;  具
0F 02;  8f e9;  城
10 02;  8a 79;  楽
11 02;  92 8d;  注
12 02;  88 d3;  意
13 02;  95 ca;  別
14 02;  8f 9f;  勝
15 02;  94 4e;  年
16 02;  97 f0;  歴
17 02;  8e 6a;  史
18 02;  94 d3;  晩
19 02;  8b e0;  金
1A 02;  8b 4e;  起
1B 02;  97 e1;  例
1C 02;  8f 9c;  除
1D 02;  94 d2;  挽
1E 02;  8d c0;  座
1F 02;  8e a1;  治
20 02;  95 94;  部
21 02;  88 f8;  引
22 02;  98 41;  連
23 02;  97 a3;  離
24 02;  94 bd;  反
25 02;  92 6a;  男
26 02;  95 73;  不
27 02;  97 52;  由
28 02;  90 cc;  昔
29 02;  90 48;  食
2A 02;  94 83;  買
2B 02;  88 f9;  飲
2C 02;  97 d6;  輪
2D 02;  8c 76;  計
2E 02;  89 9c;  奥
2F 02;  93 83;  塔
30 02;  8c c0;  限
31 02;  94 43;  任
32 02;  92 85;  着
33 02;  97 f2;  劣
34 02;  8d 84;  剛
35 02;  97 4c;  有
36 02;  8e 70;  姿
37 02;  95 61;  病
38 02;  8f b0;  床
39 02;  93 8c;  東
3A 02;  8b d6;  禁
3B 02;  8e 7e;  止
3C 02;  93 87;  島
3D 02;  89 f3;  壊
3E 02;  83 96;  ヶ
3F 02;  90 6b;  震
40 02;  95 9c;  復
41 02;  8b 8c;  旧
42 02;  8c 52;  軍
43 02;  97 a6;  率
44 02;  93 7c;  倒
45 02;  96 40;  法
46 02;  96 6c;  僕
47 02;  8e e1;  若
48 02;  92 bf;  珍
49 02;  93 99;  等
4A 02;  91 90;  草
4B 02;  8c b4;  原
4C 02;  93 b9;  道
4D 02;  92 67;  暖
4E 02;  98 46;  炉
4F 02;  89 f1;  回
50 02;  8c 5a;  兄
51 02;  97 5b;  夕
52 02;  8f 43;  修
53 02;  96 60;  冒
54 02;  8d de;  材
55 02;  97 bf;  料
56 02;  89 8a;  炎
57 02;  8a 45;  界
58 02;  93 47;  敵
59 02;  90 a8;  勢
5A 02;  8a 67;  拡
5B 02;  95 95;  封
5C 02;  88 f3;  印
5D 02;  96 a2;  未
5E 02;  89 df;  過
5F 02;  8b 8e;  去
60 02;  97 ef;  暦
61 02;  96 4b;  訪
62 02;  90 4d;  信
63 02;  8d 6c;  考
64 02;  8f 9d;  傷
65 02;  91 ce;  対
66 02;  97 76;  要
67 02;  8c 8c;  血
68 02;  8f 83;  純
69 02;  8d b6;  左
6A 02;  8e ed;  種
6B 02;  91 b0;  族
6C 02;  8d ac;  混
6D 02;  8f 89;  初
6E 02;  96 ca;  面
6F 02;  91 d4;  態
70 02;  8d aa;  根
71 02;  90 b7;  盛
72 02;  8c 88;  決
73 02;  91 e3;  代
74 02;  96 be;  明
75 02;  95 82;  浮
76 02;  8b 4d;  貴
77 02;  89 65;  影
78 02;  91 e6;  第
79 02;  97 ac;  流
7A 02;  8d c4;  再
7B 02;  95 d4;  返
7C 02;  89 a4;  王
7D 02;  8a 88;  活
7E 02;  96 bb;  冥
7F 02;  8e 59;  産
80 02;  93 a1;  藤
81 02;  95 9e;  服
82 02;  93 f7;  肉
83 02;  89 bb;  化
84 02;  92 b4;  超
85 02;  90 ac;  成
86 02;  8d 4f;  弘
87 02;  96 e7;  也
88 02;  90 b3;  正
89 02;  94 73;  敗
8A 02;  91 63;  祖
8B 02;  88 e4;  井
8C 02;  96 5d;  望
8D 02;  91 f2;  沢
8E 02;  92 ca;  通
8F 02;  88 c3;  暗
90 02;  89 e6;  画
91 02;  89 71;  衛
92 02;  8f ec;  嬢
93 02;  90 ed;  戦
94 02;  91 b7;  孫
95 02;  89 8f;  縁
96 02;  8a d6;  関
97 02;  8c 57;  係
98 02;  8e 9f;  次
99 02;  8f ea;  場
9A 02;  91 97;  送
9B 02;  8a 77;  学
9C 02;  93 ae;  動
9D 02;  93 9a;  答
9E 02;  8b 50;  輝
9F 02;  93 5d;  転
A0 02;  88 da;  移
A1 02;  8c f5;  光
A2 02;  8f 6e;  熟
A3 02;  91 88;  争
A4 02;  96 d8;  木
A5 02;  8c 69;  景
A6 02;  8d 44;  好
A7 02;  96 ba;  娘
A8 02;  8e d0;  社
A9 02;  8f 64;  重
AA 02;  8f 9e;  償
AB 02;  8a 43;  海
AC 02;  8b b0;  恐
AD 02;  92 65;  弾
AE 02;  96 ac;  脈
AF 02;  93 6f;  登
B0 02;  97 f6;  恋
B1 02;  92 83;  茶
B2 02;  92 75;  置
B3 02;  8d 75;  講
B4 02;  93 be;  得
B5 02;  89 52;  嘘
B6 02;  8c ae;  鍵
B7 02;  97 aa;  略
B8 02;  94 84;  売
B9 02;  8e f4;  呪
BA 02;  8c fb;  口
BB 02;  97 8a;  頼
BC 02;  97 44;  優
BD 02;  90 b8;  精
BE 02;  93 49;  的
BF 02;  8f d0;  紹
C0 02;  89 ee;  介
C1 02;  91 66;  素
C2 02;  92 bc;  直
C3 02;  92 87;  仲
C4 02;  8c a4;  研
C5 02;  8b 86;  究
C6 02;  96 a1;  味
C7 02;  91 ac;  速
C8 02;  8b 42;  毅
C9 02;  92 4a;  谷
CA 02;  97 ec;  霊
CB 02;  8c 5f;  契
CC 02;  96 f1;  約
CD 02;  89 45;  右
CE 02;  96 66;  貿
CF 02;  88 d5;  易
D0 02;  97 41;  輸
D1 02;  95 69;  品
D2 02;  91 7a;  想
D3 02;  8b c6;  業
D4 02;  89 63;  営
D5 02;  91 bd;  多
D6 02;  8d 86;  号
D7 02;  8e 64;  仕
D8 02;  8d ec;  作
D9 02;  93 72;  途
DA 02;  89 f6;  怪
DB 02;  94 bc;  半
DC 02;  97 46;  友
DD 02;  8d dd;  在
DE 02;  96 bf;  盟
DF 02;  8a 5a;  鎧
E0 02;  8f ee;  情
E1 02;  95 f1;  報
E2 02;  95 9f;  福
E3 02;  8b 46;  祈
E4 02;  90 65;  親
E5 02;  8d 55;  攻
E6 02;  88 f6;  因
E7 02;  8e 74;  師
E8 02;  8f a0;  匠
E9 02;  8f 8f;  緒
EA 02;  8d 8f;  刻
EB 02;  92 54;  探
EC 02;  8e 8a;  至
ED 02;  89 9e;  応
EE 02;  89 f0;  解
EF 02;  8a b7;  換
F0 02;  90 56;  新
F1 02;  8f 87;  順
F2 02;  8b f3;  空
F3 02;  8b 7a;  吸
F4 02;  96 c5;  滅
F5 02;  8a fa;  期
F6 02;  8c b9;  源
F7 02;  91 b6;  存
F8 02;  96 9e;  満
F9 02;  8f d8;  証
FA 02;  8b 92;  拠
FB 02;  8f c1;  消
FC 02;  94 ef;  費
FD 02;  97 ca;  量
FE 02;  93 b4;  洞
FF 02;  97 c7;  良
00 03;  89 c2;  可
01 03;  94 5c;  能
02 03;  94 ad;  発
03 03;  8d 60;  港
04 03;  92 e8;  定
05 03;  91 44;  船
06 03;  91 a2;  造
07 03;  8e 77;  指
08 03;  92 a7;  挑
09 03;  95 71;  敏
0A 03;  8b 83;  泣
0B 03;  8a f1;  寄
0C 03;  8e c5;  芝
0D 03;  93 c1;  特
0E 03;  92 a5;  徴
0F 03;  8e 73;  市
10 03;  8a f3;  希
11 03;  8f 57;  集
12 03;  8a b4;  感
13 03;  8f e6;  乗
14 03;  91 9d;  増
15 03;  89 d7;  荷
16 03;  89 5e;  運
17 03;  88 cb;  依
18 03;  8c b8;  減
19 03;  8f f3;  状
1A 03;  96 41;  泡
1B 03;  96 68;  防
1C 03;  94 fc;  美
1D 03;  8b b5;  況
1E 03;  91 8a;  相
1F 03;  8e ba;  室
20 03;  8e 78;  支
21 03;  8a 4b;  階
22 03;  8b 9b;  魚
23 03;  88 e6;  域
24 03;  92 ed;  弟
25 03;  95 e6;  墓
26 03;  89 bd;  何
27 03;  8c 83;  激
28 03;  8c c7;  孤
29 03;  8c 60;  形
2A 03;  92 61;  誕
2B 03;  8c 41;  窟
2C 03;  95 fa;  放
2D 03;  8e 5e;  賛
2E 03;  90 5c;  申
2F 03;  97 d1;  林
30 03;  8d 82;  高
31 03;  96 88;  毎
32 03;  94 45;  忍
33 03;  91 cf;  耐
34 03;  8f 91;  書
35 03;  97 74;  葉
36 03;  95 81;  普
37 03;  92 69;  段
38 03;  97 5c;  予
39 03;  89 cc;  歌
3A 03;  8b 67;  吉
3B 03;  90 da;  接
3C 03;  8d 9e;  込
3D 03;  8f 75;  瞬
3E 03;  91 bc;  他
3F 03;  90 c8;  席
40 03;  8e f0;  酒
41 03;  8d 42;  坑
42 03;  94 e9;  秘
43 03;  96 a7;  密
44 03;  97 42;  唯
45 03;  8c 70;  継
46 03;  95 5c;  表
47 03;  89 bf;  価
48 03;  92 6c;  値
49 03;  96 b2;  夢
4A 03;  93 aa;  頭
4B 03;  95 ba;  兵
4C 03;  8e 75;  志
4D 03;  8d f5;  索
4E 03;  8d 7a;  鉱
4F 03;  90 d5;  跡
50 03;  89 9d;  往
51 03;  8b 63;  議
52 03;  8c 9a;  建
53 03;  92 50;  単
54 03;  94 6a;  破
55 03;  94 92;  白
56 03;  95 89;  負
57 03;  8b a3;  競
58 03;  90 e0;  説
59 03;  8e fc;  周
5A 03;  8e 51;  参
5B 03;  93 5f;  点
5C 03;  8d 4c;  広
5D 03;  89 a9;  黄
5E 03;  89 9b;  央
5F 03;  91 96;  走
60 03;  94 b2;  抜
61 03;  88 ca;  位
62 03;  8c c4;  呼
63 03;  95 43;  匹
64 03;  8a aa;  巻
65 03;  93 ac;  闘
66 03;  88 b5;  扱
67 03;  93 c5;  毒
68 03;  8c d5;  虎
69 03;  89 e5;  牙
6A 03;  8e 61;  斬
6B 03;  8f 48;  秋
6C 03;  8d b9;  沙
6D 03;  8e 82;  獅
6E 03;  99 e1;  吼
6F 03;  8d 67;  紅
70 03;  98 40;  蓮
71 03;  8f b5;  招
72 03;  8f 5f;  柔
73 03;  96 50;  鳳
74 03;  99 80;  凰
75 03;  8b ec;  駆
76 03;  94 f2;  飛
77 03;  89 8d;  燕
78 03;  8b 72;  脚
79 03;  92 dc;  爪
7A 03;  97 8b;  雷
7B 03;  91 4d;  閃
7C 03;  97 f4;  裂
7D 03;  8b 95;  虚
7E 03;  91 93;  蒼
7F 03;  e3 c4;  翔
80 03;  97 7e;  欲
81 03;  8e b4;  雫
82 03;  95 f3;  宝
83 03;  8f db;  象
84 03;  90 af;  星
85 03;  96 f2;  薬
86 03;  89 5c;  噂
87 03;  8f b8;  昇
88 03;  8c 82;  撃
89 03;  8c f8;  効
8A 03;  96 e4;  紋
8B 03;  8f cd;  章
8C 03;  97 de;  類
8D 03;  8c 5e;  型
8E 03;  93 81;  刀
8F 03;  91 ae;  属
90 03;  8f f1;  杖
91 03;  8d 48;  工
92 03;  8d b0;  魂
93 03;  8c 86;  傑
94 03;  8b 77;  仇
95 03;  93 e0;  内
96 03;  8e 69;  司
97 03;  8d bb;  砂
98 03;  92 e2;  停
99 03;  8a 84;  割
9A 03;  95 b2;  粉
9B 03;  90 e1;  雪
9C 03;  90 e3;  舌
9D 03;  8f 60;  汁
9E 03;  8c ea;  語
9F 03;  8b 89;  級
A0 03;  8b 8d;  牛
A1 03;  8f 62;  獣
A2 03;  95 6e;  貧
A3 03;  96 af;  民
A4 03;  89 70;  英
A5 03;  97 59;  雄
A6 03;  8e 89;  脂
A7 03;  96 62;  肪
A8 03;  8e bd;  漆
A9 03;  8e fb;  収
AA 03;  91 dc;  袋
AB 03;  97 64;  妖
AC 03;  8c 6e;  系
AD 03;  94 f0;  避
AE 03;  93 a7;  透
AF 03;  8c a6;  絹
B0 03;  88 df;  衣
B1 03;  94 7b;  倍
B2 03;  8b 5a;  技
B3 03;  8b 85;  球
B4 03;  8f bb;  晶
B5 03;  90 6e;  刃
B6 03;  90 bb;  製
B7 03;  8e 8c;  詞
B8 03;  8d 7c;  鋼
B9 03;  90 ea;  専
BA 03;  8d d7;  細
BB 03;  8b 40;  機
BC 03;  90 f4;  洗
BD 03;  96 94;  又
BE 03;  91 84;  槍
BF 03;  95 80;  斧
C0 03;  90 55;  振
C1 03;  8b c8;  曲
C2 03;  8e bf;  質
C3 03;  96 b5;  矛
C4 03;  8f 47;  秀
C5 03;  8e ea;  殊
C6 03;  94 96;  薄
C7 03;  94 f6;  尾
C8 03;  8d ae;  紺
C9 03;  90 c2;  青
CA 03;  97 ce;  緑
CB 03;  95 46;  彦
CC 03;  89 96;  塩
CD 03;  8e 8d;  詩
CE 03;  8d d0;  災
CF 03;  96 ef;  厄
D0 03;  8a a5;  冠
D1 03;  90 f5;  染
D2 03;  8f 6a;  祝
D3 03;  92 ea;  底
D4 03;  92 be;  沈
D5 03;  97 bf;  料
D6 03;  95 58;  氷
D7 03;  90 d4;  赤
D8 03;  97 b3;  竜
D9 03;  97 e7;  礼
DA 03;  8e 86;  紙
DB 03;  96 96;  末
DC 03;  94 6e;  馬
DD 03;  90 a7;  制
DE 03;  92 5a;  短
DF 03;  94 e7;  皮
E0 03;  8e cb;  射
E1 03;  96 ee;  矢
E2 03;  8b d8;  筋
E3 03;  89 ce;  火
E4 03;  96 bd;  命
E5 03;  8b 4f;  軌
E6 03;  90 7d;  図
E7 03;  92 66;  断
E8 03;  92 9a;  丁
E9 03;  88 e2;  遺
EA 03;  94 c5;  版
EB 03;  96 7c;  翻
